trade_date,pnl_eod,contract
2024-11-08,-1.25,NVDA2517D100
2024-11-11,-1.2,NVDA2517D100
2024-11-12,0.7,NVDA2517D100
2024-11-13,-0.96,NVDA2517D100
2024-11-14,-2.45,NVDA2517D100
2024-11-15,-1.96,NVDA2517D100
2024-11-18,0.05,NVDA2517D100
2024-11-19,4.0,NVDA2517D100
2024-11-20,-2.81,NVDA2517D100
2024-11-21,-4.55,NVDA2517D100
2024-11-22,-2.71,NVDA2517D100
2024-11-25,-6.0,NVDA2517D100
2024-11-26,-2.0,NVDA2517D100
2024-11-27,-0.45,NVDA2517D100
2024-11-29,-0.96,NVDA2517D100
2024-12-02,-1.31,NVDA2517D100
2024-12-03,0.25,NVDA2517D100
2024-12-04,2.25,NVDA2517D100
2024-12-05,-0.86,NVDA2517D100
2024-12-06,-3.41,NVDA2517D100
2024-12-09,0.3,NVDA2517D100
2024-12-10,-6.1,NVDA2517D100
2024-12-11,2.54,NVDA2517D100
2024-12-12,0.14,NVDA2517D100
2024-12-13,-4.61,NVDA2517D100
2024-12-16,-0.06,NVDA2517D100
2024-12-17,0.85,NVDA2517D100
2024-12-18,-2.2,NVDA2517D100
2024-12-19,0.69,NVDA2517D100
2024-12-20,2.25,NVDA2517D100
2024-12-23,1.39,NVDA2517D100
2024-12-24,-0.96,NVDA2517D100
2024-12-26,-0.41,NVDA2517D100
2024-12-27,-2.71,NVDA2517D100
2024-12-30,3.45,NVDA2517D100
2024-12-31,-2.4,NVDA2517D100
2025-01-02,0.35,NVDA2517D100
2025-01-03,2.5,NVDA2517D100
2025-01-06,0.14,NVDA2517D100
2025-01-07,-9.96,NVDA2517D100
2025-01-08,-1.9,NVDA2517D100
2025-01-10,-0.71,NVDA2517D100
2025-01-13,-1.3,NVDA2517D100
2025-01-14,-5.1,NVDA2517D100
2025-01-15,2.7,NVDA2517D100
2025-01-16,-3.5,NVDA2517D100
2025-01-17,1.39,NVDA2517D100
2025-01-21,0.0,NVDA2517D100
2025-01-22,1.54,NVDA2517D100
2025-01-23,2.3,NVDA2517D100
2025-01-24,-5.5,NVDA2517D100
2025-01-27,-6.6,NVDA2517D100
2025-01-28,4.15,NVDA2517D100
2025-01-29,-2.6,NVDA2517D100
2025-01-30,0.44,NVDA2517D100
2025-01-31,-3.41,NVDA2517D100
2025-02-03,0.14,NVDA2517D100
2025-02-04,0.14,NVDA2517D100
2025-02-05,1.84,NVDA2517D100
2025-02-06,0.45,NVDA2517D100
2025-02-07,0.0,NVDA2517D100
2025-02-10,1.95,NVDA2517D100
2025-02-11,-2.9,NVDA2517D100
2025-02-12,0.39,NVDA2517D100
2025-02-13,2.2,NVDA2517D100
2025-02-14,1.25,NVDA2517D100
2025-02-18,-2.8,NVDA2517D100
2025-02-19,1.7,NVDA2517D100
2025-02-20,-0.95,NVDA2517D100
2025-02-21,-5.31,NVDA2517D100
2025-02-24,-6.46,NVDA2517D100
2025-02-25,-3.05,NVDA2517D100
2025-02-26,0.65,NVDA2517D100
2025-02-27,-10.4,NVDA2517D100
2025-02-28,5.9,NVDA2517D100
2025-03-03,-7.81,NVDA2517D100
2025-03-04,3.45,NVDA2517D100
2025-03-05,-0.65,NVDA2517D100
2025-03-06,-2.25,NVDA2517D100
2025-03-07,-0.06,NVDA2517D100
2025-03-10,-2.15,NVDA2517D100
2025-03-11,0.15,NVDA2517D100
2025-03-12,-0.56,NVDA2517D100
2025-03-13,-2.75,NVDA2517D100
2025-03-14,0.7,NVDA2517D100
2025-03-17,-2.75,NVDA2517D100
2025-03-18,-2.91,NVDA2517D100
2025-03-19,-0.25,NVDA2517D100
2025-03-20,-0.15,NVDA2517D100
2025-03-21,-0.25,NVDA2517D100
2025-03-24,0.85,NVDA2517D100
2025-03-25,-0.5,NVDA2517D100
2025-03-26,-4.15,NVDA2517D100
2025-03-27,-0.06,NVDA2517D100
2025-03-28,-1.5,NVDA2517D100
2025-03-31,1.85,NVDA2517D100
2025-04-01,-0.41,NVDA2517D100
2025-04-02,2.05,NVDA2517D100
2025-04-03,-1.4,NVDA2517D100
2025-04-04,-0.9,NVDA2517D100
2025-04-07,3.23,NVDA2517D100
2025-04-08,-3.85,NVDA2517D100
2025-04-09,15.15,NVDA2517D100
2025-04-10,-2.95,NVDA2517D100
2025-04-11,0.0,NVDA2517D100
2025-04-14,-3.81,NVDA2517D100
2025-04-15,0.65,NVDA2517D100
2025-04-16,-0.55,NVDA2517D100
2025-04-17,-3.51,NVDA2517D100
2025-03-27,-0.85,NVDA2517D101
2025-03-28,-1.7,NVDA2517D101
2025-03-31,1.64,NVDA2517D101
2025-04-01,0.75,NVDA2517D101
2025-04-02,1.9,NVDA2517D101
2025-04-03,-1.41,NVDA2517D101
2025-04-04,-0.9,NVDA2517D101
2025-04-07,2.96,NVDA2517D101
2025-04-08,-3.6,NVDA2517D101
2025-04-09,9.1,NVDA2517D101
2025-04-10,-0.91,NVDA2517D101
2025-04-11,0.69,NVDA2517D101
2025-04-14,-3.41,NVDA2517D101
2025-04-15,0.19,NVDA2517D101
2025-04-16,-0.66,NVDA2517D101
